"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Green",""
"2",2011,"Birmingham","Adderly St.",""
"3",2011,"Birmingham","Alcester Raod  Mosley","Alcester Raod Mosley"
"4",2011,"Birmingham","alcester Rd.",""
"5",2011,"Birmingham","alcester Rd. moseley",""
"6",2011,"Birmingham","Alcester Rd. Moseley",""
"7",2011,"Birmingham","Alfred St.",""
"8",2011,"Birmingham","All service club  Mosley","All service club Mosley"
"9",2011,"Birmingham","Alum Rock Rd.",""
"10",2011,"Birmingham","Alum Rock Rd.","Alum Rock Rd."
"11",2011,"Birmingham","Alum Rock Rd.","Alum Rock Rd."
"12",2011,"Birmingham","Alum Rock Rd.","Alum Rock Rd."
"13",2011,"Birmingham","arcadian centre",""
"14",2011,"Birmingham","Arden Rd.  Saltley","Arden Rd. Saltley"
"15",2011,"Birmingham","Asda  Chemsley Wood","Asda Chemsley Wood"
"16",2011,"Birmingham","Balsahll Heath Park  J/W Brighton Rd.","Balsahll Heath Park J/W Brighton Rd."
"17",2011,"Birmingham","Bamford Rd.",""
"18",2011,"Birmingham","Bamford Rd.","Bamford Rd."
"19",2011,"Birmingham","BeechBrook Ave. Sparkhill",""
"20",2011,"Birmingham","Belchers Lane",""
"21",2011,"Birmingham","Belchers Lane","Belchers Lane"
"22",2011,"Birmingham","Belchers Lane","Belchers Lane"
"23",2011,"Birmingham","Belchers Lane  Bordesley Green","Belchers Lane Bordesley Green"
"24",2011,"Birmingham","Bell St.",""
"25",2011,"Birmingham","Berkley Rd East    Haymills ","Berkley Rd East   Haymills"
"26",2011,"Birmingham","birmingham airport",""
"27",2011,"Birmingham","Birmingham International railway station",""
"28",2011,"Birmingham","Bordesley Green",""
"29",2011,"Birmingham","Bordesley Green    Bordesley Green ","Bordesley Green   Bordesley Green"
"30",2011,"Birmingham","Bristol Rd.",""
"31",2011,"Birmingham","Bristol St.",""
"32",2011,"Birmingham","BRd. St.",""
"33",2011,"Birmingham","BRd. St.","BRd. St."
"34",2011,"Birmingham","BRd. St. Birmingham",""
"35",2011,"Birmingham","Buckland End Lane Shard End",""
"36",2011,"Birmingham","Bulls Head PH  St Marys Row","Bulls Head PH St Marys Row"
"37",2011,"Birmingham","Bushbury Rd.  Kitts Green","Bushbury Rd. Kitts Green"
"38",2011,"Birmingham","Chartice Rd.",""
"39",2011,"Birmingham","Chestnut Rd.",""
"40",2011,"Birmingham","church rd  stechford","church rd stechford"
"41",2011,"Birmingham","Church Rd.  Sheldon","Church Rd. Sheldon"
"42",2011,"Birmingham","Clifford RD Dorridge ","Clifford RD Dorridge"
"43",2011,"Birmingham","Clock Lane",""
"44",2011,"Birmingham","Colonial Rd.  Bordesley Green ","Colonial Rd. Bordesley Green"
"45",2011,"Birmingham","Corporation St Birmingham","Corporation StBirmingham"
"46",2011,"Birmingham","corporation street",""
"47",2011,"Birmingham","Coventry rd Small heath",""
"48",2011,"Birmingham","COVENTRY RD  SMALL HEATH  BHAM","COVENTRY RD SMALL HEATH BHAM"
"49",2011,"Birmingham","Coventry Rd.",""
"50",2011,"Birmingham","Coventry Rd.","Coventry Rd."
"51",2011,"Birmingham","Coventry Rd.","Coventry Rd."
"52",2011,"Birmingham","Coventry Rd.","Coventry Rd."
"53",2011,"Birmingham","Coventry Rd.","Coventry Rd."
"54",2011,"Birmingham","Coventry Rd.  Small heath","Coventry Rd. Small heath"
"55",2011,"Birmingham","Coventry Rd.  Small Heath","Coventry Rd. Small Heath"
"56",2011,"Birmingham","coventry Rd. small heath","coventry Rd.small heath"
"57",2011,"Birmingham","Cranes Park Rd.",""
"58",2011,"Birmingham","Cranes Park Rd. Sheldon",""
"59",2011,"Birmingham","crossfield Rd.",""
"60",2011,"Birmingham","Crossfields Rd. Kitts Green",""
"61",2011,"Birmingham","cxhurch rd  stechford  bham","cxhurch rd stechford bham"
"62",2011,"Birmingham","digbeth high street",""
"63",2011,"Birmingham","Edgbaston Rd.",""
"64",2011,"Birmingham","Edward Rd.  Moseley","Edward Rd. Moseley"
"65",2011,"Birmingham","Fighting Cox PH",""
"66",2011,"Birmingham","Foremans Rd.  sparkhill","Foremans Rd. sparkhill"
"67",2011,"Birmingham","front office  kings heath","front office kings heath"
"68",2011,"Birmingham","Garretts Green Rd.  Garretts Green","Garretts Green Rd. Garretts Green"
"69",2011,"Birmingham","Giles Close",""
"70",2011,"Birmingham","GILES CLOSE  STECHFORD","GILES CLOSE STECHFORD"
"71",2011,"Birmingham","glazedale Rd.",""
"72",2011,"Birmingham","Gospel Farm Rd.",""
"73",2011,"Birmingham","Gospel Farm Rd.","Gospel Farm Rd."
"74",2011,"Birmingham","gospel lane",""
"75",2011,"Birmingham","gospel lane","gospel lane"
"76",2011,"Birmingham","Gospel Lane",""
"77",2011,"Birmingham","Gospel lane  acocks green","Gospel lane acocks green"
"78",2011,"Birmingham","Grace Church  Sutton Coldfield","Grace Church Sutton Coldfield"
"79",2011,"Birmingham","Great Hampton St.",""
"80",2011,"Birmingham","Green Lane",""
"81",2011,"Birmingham","Greswell lane Shard End",""
"82",2011,"Birmingham","Harlequin drive  Mosley","Harlequin drive Mosley"
"83",2011,"Birmingham","Haslucks Green Rd.",""
"84",2011,"Birmingham","Hazeldean Rd.",""
"85",2011,"Birmingham","Heartlands Hospital",""
"86",2011,"Birmingham","Heartlands Hospital","Heartlands Hospital"
"87",2011,"Birmingham","Heartlands Hospital A   E ","Heartlands Hospital A  E"
"88",2011,"Birmingham","Heartlands Hospital A   E ","Heartlands Hospital A  E"
"89",2011,"Birmingham","heartlands hospital A   E ","heartlands hospital A  E"
"90",2011,"Birmingham","Hepben Grove",""
"91",2011,"Birmingham","Herrick Rd.",""
"92",2011,"Birmingham","Herrick Rd.  Washwood Heath","Herrick Rd. Washwood Heath"
"93",2011,"Birmingham","Herrick Rd.  Washwood Heath","Herrick Rd. Washwood Heath"
"94",2011,"Birmingham","High St Solihull",""
"95",2011,"Birmingham","HIGH STREET KINGS HEATH",""
"96",2011,"Birmingham","High St. Kings Heath",""
"97",2011,"Birmingham","high street  kings heath","high street kings heath"
"98",2011,"Birmingham","Hob Moor Rd. at Starbank Rd.",""
"99",2011,"Birmingham","Holloway head Bham City centre",""
"100",2011,"Birmingham","Hollywell Rd.",""
"101",2011,"Birmingham","home address",""
"102",2011,"Birmingham","Home Address",""
"103",2011,"Birmingham","Homer street",""
"104",2011,"Birmingham","Hunters Moon Public house ","Hunters Moon Public house"
"105",2011,"Birmingham","Hurst St.",""
"106",2011,"Birmingham","Hurst St.","Hurst St."
"107",2011,"Birmingham","Hurst St.","Hurst St."
"108",2011,"Birmingham","Hurst St.  Birmingham","Hurst St. Birmingham"
"109",2011,"Birmingham","Kings Heath High St.",""
"110",2011,"Birmingham","KNOWLE RD  SMALL HEATH  BHAM","KNOWLE RD SMALL HEATH BHAM"
"111",2011,"Birmingham","ladypool Rd.",""
"112",2011,"Birmingham","ladypool Rd.","ladypool Rd."
"113",2011,"Birmingham","Ladywell Walk",""
"114",2011,"Birmingham","Lea Hall RD",""
"115",2011,"Birmingham","Lea Hall rd",""
"116",2011,"Birmingham","Lea Village  Stechford","Lea Village Stechford"
"117",2011,"Birmingham","Lenches Close  Mosley","Lenches Close Mosley"
"118",2011,"Birmingham","Lime Tree Rd.",""
"119",2011,"Birmingham","Lode Lane   Hermitage Rd.","Lode Lane  Hermitage Rd."
"120",2011,"Birmingham","Long street",""
"121",2011,"Birmingham","Long St.  Sparkhill","Long St. Sparkhill"
"122",2011,"Birmingham","Longbridge Lane",""
"123",2011,"Birmingham","LONGMEADOW CRESCENT SHARD END   BHAM","LONGMEADOW CRESCENT SHARD END  BHAM"
"124",2011,"Birmingham","Maccadown Lane",""
"125",2011,"Birmingham","masshouse lane",""
"126",2011,"Birmingham","Meadwaym Stechford",""
"127",2011,"Birmingham","Mickleover Rd.  Bromford","Mickleover Rd. Bromford"
"128",2011,"Birmingham","moorcroft Rd.",""
"129",2011,"Birmingham","Moseley Rd.",""
"130",2011,"Birmingham","moseley Rd.",""
"131",2011,"Birmingham","moseley Rd.","moseley Rd."
"132",2011,"Birmingham","moseley Rd.","moseley Rd."
"133",2011,"Birmingham","Moseley Village",""
"134",2011,"Birmingham","Moseley Village","Moseley Village"
"135",2011,"Birmingham","Moseley Village  Alcester Rd.","Moseley Village Alcester Rd."
"136",2011,"Birmingham","Mosley All Services Club  Church Rd.  Moseley ","Mosley All Services Club Church Rd. Moseley"
"137",2011,"Birmingham","Nearlands Close Quinton",""
"138",2011,"Birmingham","new street",""
"139",2011,"Birmingham","Northfield High St.",""
"140",2011,"Birmingham","O/S BEHANS  HIGHFIELD ROAD  BILLESLEY","O/S BEHANS HIGHFIELD ROAD BILLESLEY"
"141",2011,"Birmingham","O/S The junction  Mosley Village","O/S The junction Mosley Village"
"142",2011,"Birmingham","O/S Washwood Heath Rd.",""
"143",2011,"Birmingham","Oakhill Rd.  Acocks Green","Oakhill Rd. Acocks Green"
"144",2011,"Birmingham","Opp white hart lane cooks lane",""
"145",2011,"Birmingham","Opposite  ALDI  Stratford Rd.","Opposite ALDI Stratford Rd."
"146",2011,"Birmingham","Outside Java lounge Alcester Rd.",""
"147",2011,"Birmingham","Outside O2 Academy Night Club B ham City Centre","Outside O2 Academy Night Club Bham City Centre"
"148",2011,"Birmingham","outside raven public house",""
"149",2011,"Birmingham","Packington Ave.  Shard End","Packington Ave. Shard End"
"150",2011,"Birmingham","park off hob moor Rd.",""
"151",2011,"Birmingham","Parkhall Croft",""
"152",2011,"Birmingham","Pear Tree PH",""
"153",2011,"Birmingham","Police station",""
"154",2011,"Birmingham","Police Station Stechford",""
"155",2011,"Birmingham","poplar Rd.",""
"156",2011,"Birmingham","Poplar Rd.",""
"157",2011,"Birmingham","poplar Rd.   solihull",""
"158",2011,"Birmingham","poplar Rd.  solihull",""
"159",2011,"Birmingham","Preston Rd.",""
"160",2011,"Birmingham","Priory Rd.  Hall Green","Priory Rd. Hall Green"
"161",2011,"Birmingham","prospect Rd.",""
"162",2011,"Birmingham","queenswood Rd.",""
"163",2011,"Birmingham","rear of boots  high street","rear of boots high street"
"164",2011,"Birmingham","REDDINGS LANE  TSYLEY","REDDINGS LANE TSYLEY"
"165",2011,"Birmingham","Richmond Primary Care Centre  Richmond Rd.  Stechford","Richmond Primary Care Centre Richmond Rd. Stechford"
"166",2011,"Birmingham","ring Rd.  stourbridge","ring Rd. stourbridge"
"167",2011,"Birmingham","sainsburys  wawrick Rd.","sainsburys wawrick Rd."
